language,number
en,32269
fr,2438
it,1529
ja,1350
de,1080
es,994
ru,826
hi,508
ko,444
zh,409
sv,384
pt,316
cn,313
fi,297
nl,248
da,225
pl,219
tr,150
cs,130
el,113
no,106
fa,101
hu,100
ta,78
th,76
he,67
sr,63
ro,57
te,45
ar,39
ml,36
xx,33
bn,29
hr,29
mr,25
is,24
et,24
tl,23
id,20
lv,18
ka,18
sl,17
uk,16
bs,14
ca,12
ab,10
vi,10
bg,10
sk,9
lt,9
ur,8
nb,6
sh,5
wo,5
sq,5
ms,5
mk,5
eu,3
kk,3
kn,3
ky,3
bm,3
ku,3
ps,2
am,2
ne,2
bo,2
lo,2
mn,2
pa,2
iu,2
af,2
82.0,1
cy,1
sm,1
hy,1
uz,1
68.0,1
gl,1
lb,1
mt,1
rw,1
fy,1
ay,1
eo,1
tg,1
jv,1
zu,1
qu,1
104.0,1
la,1
si,1
